Token,Frequency
برداری,5683
میلیون,5682
قدرت,5680
جدیدی,5675
نرخ,5671
خراسان,5670
ادبیات,5662
اجازه,5660
گفت,5650
خصوصی,5647
مسیر,5620
زاده,5615
کوئری,5610
فارس,5608
گیرد,5608
حاصل,5604
رفت,5595
بهینه,5576
دار,5563
ریاست,5559
مواد,5550
مهندسی,5543
تپه,5540
جلد,5531
طبیعی,5527
ماهه,5527
می‌گیرد,5526
جام,5503
حضور,5502
بخشی,5462
پزشکی,5457
نظارت,5448
سالیانه,5447
بازگشت,5436
سبک,5429
فیلم‌های,5424
محلی,5419
کانتینر,5419
انتخابات,5400
کدملی,5400
پدر,5397
رفته,5385
افزار,5361
م,5355
خوبی,5327
ایالت,5326
اصفهان,5306
جزیره,5301
می‌رود,5292
دکمه,5267
اسرائیل,5261
شش,5261
Pod,5240
تخفیف,5227
فعلی,5221
نزدیک,5218
گل,5205
حوزه,5205
طرف,5204
می‌کرد,5198
اصلاح,5194
Grafana,5190
خاطر,5186
شب,5181
می‌گردد,5179
عالی,5167
حرکت,5164
شعر,5161
میلاد,5156
ترتیب,5156
نقل,5146
اکنون,5141
خروج,5140
چک,5133
ویکی,5130
CI,5110
استاد,5108
کارهایی,5106
مواردی,5103
RabbitMQ,5100
دسته,5097
CD,5090
پنج,5089
مدیران,5085
قمری,5062
ویرایش,5054
رشد,5047
شمار,5046
چین,5030
مشخصات,5029
گردد,5026
هند,5023
اقتصادی,5023
موقعیت,5007
امسال,5006
سده,4996
انجمن,4996
مرد,4984
تجاری,4978
خدا,4976
Kibana,4970
رویدادها,4965
استرداد,4965
روسیه,4942
خبر,4942
اسپانیا,4929
چیزی,4928
مي,4925
هدف,4919
دانشکده,4918
زنده,4918
فروش,4909
کارایی,4902
وزیر,4897
خیلی,4867
داری,4864
OmniDB,4860
اهمیت,4855
شرق,4849
بروز,4849
مثل,4847
دیده,4836
مجوز,4829
بیماری,4819
قرآن,4803
رسیده,4799
اقدامی,4790
کاربردهای,4780
صحیح,4779
معنای,4774
زیاد,4768
تاکسی,4759
مدرسه,4749
کی,4749
خاموش,4746
Kafka,4740
گذاری,4709
جامعه,4706
رضا,4701
روشن,4701
هستم,4695
حقوقی,4691
بدن,4689
میرزا,4687
مطرح,4676
علم,4667
محدودیت,4662
متفاوت,4659
کشاورزی,4648
نشر,4645
نامه,4644
یافته,4638
باشه,4633
بهتر,4631
سن,4626
ارتش,4619
انرژی,4602
یادکرد,4599
حمله,4593
پایه,4588
موفق,4586
تمامی,4581
رابطه,4580
بعدی,4579
بعضی,4574
مشهور,4571
امور,4546
بپرسم,4530
کاربردی,4527
نخست,4526
هنری,4525
نهایی,4520
postgres,4500
راحتی,4498
امتیاز,4478
حالی,4468
مصرفی,4461
رخ,4458
سال‌های,4453
ناشر,4448
صنعتی,4445
هفت,4443
ق,4441
شده‌اند,4441
نگهداری,4437
کنونی,4425
خدماتی,4417
نمونه,4413
صورتی,4413
آره,4410
مصر,4402
تلفن,4395
دانش,4392
پهلوی,4375
همکاری,4370
سنگ,4369
گسترش,4363
نوعی,4352
شرایطی,4352
تخصیص,4346
بخش‌های,4343
یاد,4340
کردی,4340
کنه,4336
دین,4334
بازار,4331
تغییرات,4330
د,4327
مناسبت‌ها,4324
تبریز,4322
اسناد,4311
HDFS,4300
کانکشن,4300
فرزند,4297
پخش,4296
می‌آید,4293
مفهوم,4290
مثال,4286
تازه,4286
اساسی,4285
باستان,4281
دختر,4280
البته,4273
محمود,4266
مسائل,4241
آزادی,4232
قوانین,4230
شخص,4230
مساحت,4229
خصوص,4229
ارتفاع,4228
بازی‌های,4227
نشانی,4225
استعلام,4223
ده,4218
بهبود,4218
چیز,4216
وسایل,4209
مدارکی,4204
عهده,4200
1888,4200
Trino,4200
پیاده,4197
پادشاه,4192
می‌دهند,4188
حفظ,4185
Elasticsearch,4180
وبگاه,4178
انگلستان,4177
بین‌المللی,4166
علاوه,4157
واژه,4156
کدامند,4150
معماری,4149
سرورهای,4149
همسر,4148
چشم,4148
ذکر,4143
روشی,4143
استان‌های,4141
پاسخ,4128
طبق,4127
نور,4099
مجدد,4095
مطلع,4094
امکانات,4090
کافی,4086
موتور,4079
درستی,4076
مدیر,4072
شناسی,4065
خودم,4062
میدان,4060
بدست,4056
عباس,4051
پروتکل,4049
شیء,4047
فاصله,4046
معمولاً,4042
امروزه,4041
ساختار,4035
دهند,4031
متن,4019
تن,4017
مندی,4017
حداکثر,4012
پیامک,4012
ماده,4011
توانند,4011
توی,4005
داشتن,4003
137,4000
دید,3989
کشته,3984
پل,3982
مدل,3981
ان,3966
قبلی,3965
داشتند,3959
سفید,3955
ساکنین,3954
برق,3949
سازمانی,3948
فناوری,3946
پردازش,3946
سخت,3944
بتوانم,3944
عوض,3943
مارس,3940
موجب,3940
امنیتی,3934
پیغام,3928
اش,3922
ازدواج,3921
کارگردان,3913
سیاه,3908
اصل,3906
مکان,3906
کوتاه,3901
نویسندگان,3900
کیلومتری,3899
خاک,3893
سیاست,3880
حمایت,3878
همچون,3867
ش,3866
برخورد,3858
محسوب,3856
ابراهیم,3855
پیشنهاد,3855
بلیط,3851
مونده,3850
سالگی,3848
چهارم,3847
اقتصاد,3844
مهاجرت,3842
برتر,3833
سفر,3827
ژانویه,3823
مربع,3822
ساکن,3822
فلسفه,3816
مهدی,3814
Logforwarder,3810
سرزمین,3808
الان,3807
شوید,3802
ابن,3799
تشکر,3799
تجهیزات,3796
نظام,3794
جا,3790
نقاط,3788
می‌باشند,3787
خرید,3785
ج,3784
بدی,3781
تاریخچه,3780
انسانی,3776
صد,3773
نظریه,3772
آوری,3769
اکتبر,3767
شیوه,3764
تکرار,3764
redis,3760
ضروری,3749
ویندوز,3747
تیر,3736
آینده,3735
مقابل,3734
معمولا,3733
نقطه,3724
کرده‌است,3716
بریتانیا,3709
تلاش,3708
‌,3704
راننده,3696
شکست,3694
وسیله,3689
آبی,3686
جشنواره,3685
پنجاه,3683
برگزار,3682
علیه,3660
زیرا,3660
روند,3659
متولد,3657
اختیار,3653
چطوریه,3650
رودخانه,3648
پرسنل,3646
جمهور,3643
زبان‌های,3640
برجسته,3640
ساز,3633
جامع,3629
کلمه,3628
تکمیل,3624
تأثیر,3619
ایشان,3611
اعتراض,3601
مهر,3599
ویکی‌پدیای,3596
موضوعات,3596
امروز,3594
نامیده,3593
درگذشت,3592
شاعر,3585
فرانسوی,3585
مقام,3583
رادیو,3578
آوریل,3577
فرایند,3574
اداره,3569
حمل,3552
یوزر,3550
معناست,3545
نیازی,3542
خون,3535
کاملا,3535
نوامبر,3530
اغلب,3529
خوب,3527
همزمان,3519
آموزشی,3516
می‌کردند,3514
تحصیل,3511
SELinux,3510
عمر,3505
اشتباهه,3500
MariaDB,3500
دقیقه,3496
دسامبر,3495
ری,3490
دلار,3489
می‌رسد,3483
درون,3483
حافظه,3479
هفته,3474
دولتی,3473
تلویزیونی,3471
شوروی,3469
باستانی,3465
سابق,3465
مقیاس,3464
لیگ,3463
لحاظ,3456
مطمئن,3455
بازیگران,3452
نو,3448
عبارت,3447
کارهای,3445
داشبورد,3440
لغو,3438
تکراری,3433
بشم,3432
بانک,3431
Deployment,3430
هوایی,3427
ناحیه,3424
کشف,3424
جایی,3422
منتقل,3418
بندر,3413
نژاد,3411
پشت,3406
اطمینان,3404
شکایتم,3400
پایین,3399
اطراف,3398
حرف,3392
بازیابی,3391
سد,3389
قادر,3388
نزدیکی,3384
جدا,3384
وضعیتی,3382
یمن,3380
دانشگاه‌های,3379
ساده,3366
نفت,3364
وصل,3358
سالهای,3357
امر,3356
ستاره,3355
موزه,3351
اس,3351
تشخیص,3350
حد,3341
گرم,3336
تخصصی,3336
صنایع,3334
معتبر,3334
گروهی,3330
تأسیس,3323
حق,3323
یکدیگر,3323
نشد,3323
بزنم,3320
ارگانی,3317
بینی,3314
دریایی,3310
خواننده,3308
فیزیک,3300
20,3300
شیراز,3295
ژاپن,3294
سوالات,3287
ممنون,3281
نیویورک,3275
معاصر,3274
مزایایی,3274
باغ,3266
اختصاص,3266
تصمیم,3265
درمان,3264
معبر,3264
SQL,3260
ایتالیا,3254
هایم,3250
سینما,3248
استقلال,3240
صفر,3239
باشید,3238
بهمن,3237
قدیم,3235
صحبت,3235
سبز,3229
مشغول,3228
لیست,3226
خرابی,3223
بسازم,3220
پاک,3216
گروه‌های,3215
پادشاهی,3214
هجده,3213
صنعت,3212
ساله,3208
ترک,3205
سوابق,3205
مزایای,3205
بگید,3200
دیدار,3198
مسابقات,3195
پاریس,3195
مادر,3189
دقیقا,3185
ژوئن,3184
زیرساخت,3184
میانه,3181
فکر,3181
آپلود,3174
نوشتن,3172
خودروهای,3167
ورزشی,3164
مذهبی,3161
گاه,3160
پایتخت,3157
رعایت,3147
خرداد,3145
دومین,3145
بفهمم,3140
کمتر,3137
ظاهر,3136
فوریه,3135
جنبش,3132
فشار,3128
برم,3126
برنده,3124
سپاه,3124
اینترنت,3123
رضوی,3120
گاز,3112
سری,3111
برقرار,3104
هنگامی,3102
ملکی,3102
اسنپ,3100
عصر,3099
مراسم,3094
پنجم,3093
API,3090
منو,3087
خلیج,3086
ظرفیت,3084
فعلا,3082
عبدالله,3076
کودکان,3074
مجددا,3060
المللی,3056
ماشینم,3050
دریا,3048
مقایسه,3044
بصورت,3040
تابع,3036
دهی,3036
عادی,3035
ثابت,3034
بابت,3033
زندان,3032
بطور,3026
اوت,3023
بنابراین,3022
گوناگون,3020
المپیک,3019
بلند,3016
بعدها,3015
نظیر,3013
مقاله,3010
CMAK,3010
قطع,3008
دریای,2992
حجم,2991
دهنده,2990
الکترونیک,2983
PVC,2980
تلویزیون,2979
نیمه,2978
بلکه,2976
نمودن,2976
عرض,2972
به‌,2971
شیعه,2969
روبرو,2969
خودش,2968
رهبری,2967
محله,2966
جغرافیایی,2962
CodeServer,2960
دفتر,2959
سرانجام,2954
دوست,2954
مدتی,2951
بالای,2951
امیر,2949
موسسه,2947
کتابخانه,2947
پاپ,2940
سبب,2936
هاي,2915
سلطان,2910
شات,2909
ایمیل,2907
راست,2903
اوراکل,2903
مجله,2901
تخلفات,2901
دانشجویان,2898
آتش,2897
بشه,2897
عرب,2896
درخت,2894
دل,2892
براي,2888
بدهید,2888
داریم,2885
آهنگ,2880
شهرک,2880
محصولات,2873
آلمانی,2870
وانت,2869
حتما,2866
جایگاه,2865
مقدس,2863
سنتی,2861
کیفیت,2859
شهرت,2855
راک,2853
مرجع,2852
تست,2850
چطوره,2850
YAML,2850
قتل,2848
فرمان,2848
فرزندان,2847
رتبه,2847
روابط,2846
کشوری,2845
اصول,2844
ستون,2844
نکاتی,2843
ضد,2841
الکترونیکی,2841
ترکیه,2840
درسته,2840
اشتباه,2839
فضایی,2838
خوش,2838
امیدوارم,2838
توانایی,2833
اسکار,2831
شناسه,2831
مه,2829
رفتن,2828
یونان,2825
سنگین,2825
نزد,2822
مستقل,2822
‌ها,2814
سنت,2814
ترکیب,2814
نتایج,2811
دفاع,2809
پدرش,2808
برطرف,2808
خطوط,2797
ابهام‌زدایی,2794
بدین,2793
هدیه,2792
طوری,2791
مرا,2786
روزرسانی,2786
جز,2785
گفتی,2785
نظرم,2784
افزارها,2779
مشترک,2774
منجر,2774
ورودی,2771
همچنان,2768
عربستان,2767
مخابراتی,2758
روم,2754
ارومیه,2746
کرمان,2745
کره,2740
نداره,2737
عشق,2735
می‌گوید,2735
چپ,2735
متوقف,2735
می‌گویند,2728
زدن,2726
اشتراک,2724
رمان,2721
شهید,2721
خورشید,2720
ارزش,2720
کمی,2719
یونانی,2714
دهیم,2713
کارگردانی,2711
پشتیبان,2703
بزرگی,2693
دسترس,2692
زوج,2686
دادند,2680
مختلفی,2679
تاسیس,2678
نیم,2677
جشن,2676
موبایل,2676
امپراتوری,2670
تحقیقات,2668
خلق,2666
ملل,2664
فرض,2663
می‌توانند,2661
بشر,2659
ه,2653
نمایم,2652
مسکونی,2643
کسانی,2642
توانیم,2637
Persistent,2630
خانگی,2628
بکار,2627
استاندارد,2620
آسیا,2618
ابزارهایی,2618
کرده‌اند,2617
ژوئیه,2616
مراکز,2614
اواخر,2612
نموده,2612
روزانه,2611
ایرانیان,2610
درآمد,2610
Cassandra,2610
بستک,2607
سریع,2602
متوجه,2601
صاحب,2600
پذیری,2600
مفاصا,2600
نگاه,2598
پارکینگ,2589
لندن,2587
تاکنون,2587
دستورات,2586
تعدادی,2584
دچار,2582
اعداد,2579
ناشی,2577
سرخ,2572
آنکه,2570
Secret,2570
مدارس,2568
تخریب,2562
ماهی,2561
نماید,2560
خیر,2554
زندگینامه,2550
وزن,2550
Volume,2550
باقیمانده,2545
بای,2545
آخر,2543
برده,2542
بنام,2541
اخیر,2539
تجزیه,2539
مستقیم,2538
نقشی,2536
مشهد,2534
کلاس,2532
پیروزی,2527
آید,2527
خمینی,2522
ايران,2519
یکم,2519
جوان,2514
حیوانات,2513
نبود,2512
ادبی,2511
فراوان,2510
خویش,2506
شکلی,2506
پا,2505
الدین,2502
غلطه,2500
پلاکم,2500
قم,2491
مخصوص,2491
بهار,2490
mongo,2490
پیشین,2489
همیشه,2488
وظیفه,2487
برخوردار,2486
دکل,2486
عمده,2481
پیشرفت,2481
لایه,2481
پست,2480
پوشش,2478
بروزرسانی,2476
برداشت,2475
کشتی,2468
تعویض,2465
گی,2465
هنرمند,2462
گیاهان,2457
اختصاصی,2457
گاهی,2456
توصیه,2456
برادر,2454
طبقه,2454
برج,2453
گیتار,2452
صدا,2446
باب,2445
وین,2444
کارشناسی,2443
اتفاق,2436
اختلاف,2434
امکاناتی,2434
آیت,2433
براساس,2433
قالب,2432
اکثر,2428
کانادا,2423
ششم,2421
آقای,2420
تحصیلات,2416
ریشه,2416
مربوطه,2413
قاجار,2408
موقع,2404
محمدرضا,2403
پرورش,2403
شاعران,2397
هرمزگان,2397
بانکی,2397
حفاظت,2393
دقت,2393
فوق,2391
عوامل,2391
مشابه,2389
بنده,2386
زیبا,2385
تاثیر,2383
حقیقت,2375
نمایندگان,2374
پلاس,2374
شبیه,2373
برنامه‌های,2369
بزرگ‌ترین,2365
نبرد,2365
محافظت,2365
اتحادیه,2361
دره,2361
بده,2361
رهبر,2359
صدای,2356
قهرمانی,2354
مسکن,2352
رایگان,2345
پایدار,2343
سخن,2342
ریاضی,2340
Endpoint,2340
مقاومت,2339
موفقیت,2333
قبول,2333
گلایه,2331
سعید,2330
مرداد,2330
SSH,2330
ابزاری,2327
شهریور,2326
آنچه,2323
مسلمانان,2322
امید,2322
قرارداد,2321
شبه,2312
دنیای,2311
مردان,2307
مسئله,2305
جاده,2304
کاربردهایی,2304
بری,2303
اسماعیل,2301
سماس,2300
بارانه,2300
آهن,2299
مطالعه,2299
هدایت,2293
فراموش,2293
هستن,2292
عرضه,2287
مفید,2287
کالیفرنیا,2286
شخصیت,2285
بیشترین,2285
صرف,2283
غیرمجاز,2280
FTP,2280
کامپیوتر,2274
کنن,2270
الکتریکی,2266
بودم,2266
گسترده,2260
تجربه,2260
دیدن,2259
حاج,2258
اسم,2257
ردیف,2257
جریمه,2255
بپردازم,2250
کارگران,2249
ایستگاه,2248
سهامداران,2248
متال,2246
پرواز,2246
شدت,2242
بایست,2241
S3,2240
چشمه,2239
بی‌بی‌سی,2238
ترکی,2238
قهرمان,2236
توانست,2235
متعلق,2235
پیمانکار,2235
بروید,2234
خبرگزاری,2233
شدید,2233
ارتباطات,2233
حکم,2229
دینی,2227
بیماران,2227
يا,2226
آذر,2221
ببین,2219
میوه,2218
دارن,2218
کلیسای,2217
ولایت,2211
چهل,2210
GitLab,2210
جرم,2208
آماده,2208
اوایل,2207
محصول,2204
تگ,2203
تقسیمات,2201
قبوض,2200
شهروندیم,2200
رد,2199
استقرار,2199
اتحاد,2198
فراوانی,2198
کتاب‌های,2195
خوانده,2195
اردیبهشت,2194
بنیاد,2192
شیمیایی,2192
مند,2192
